Chrysuronia humboldtii,
Chlorostilbon russatus,
Chlorostilbon olivaresi,
Chlorostilbon gibsoni,
Cynanthus auriceps,
Chlorostilbon alice,
Cynanthus forficatus,
Chlorostilbon stenurus,
Campylopterus calcirupicola,
Campylopterus diamantinensis,
Chaetocercus jourdanii,
Chaetocercus heliodor,
Chaetocercus berlepschi,
Chaetocercus astreans,
Selasphorus ellioti,
Mellisuga helenae,
Doricha enicura,
Nesophlox lyrura,
Eugenes spectabilis,
Oxypogon cyanolaemus,
Oxypogon lindenii,
Oxypogon stuebelii,
Chalcostigma heteropogon,
Metallura iracunda,
Oreotrochilus adela,
Oreotrochilus cyanolaemus,
Ramphomicron dorsale,
Aglaiocercus berlepschi,
Heliangelus mavors,
Heliangelus spencei,
Lophornis ornatus,
Lophornis adorabilis,
Lophornis magnificus,
Lophornis gouldii,
Lophornis helenae,
Lophornis brachylophus,
Lophornis stictolophus,
Lophornis verreauxii,
Discosura letitiae,
Urochroa leucura,
Coeligena eos,
Coeligena inca,
Aglaeactis aliciae,
Eriocnemis godini,
Eriocnemis mirabilis,
Eriocnemis isabellae,
Haplophaedia assimilis,
Colibri cyanotus,
Schistes albogularis,
Phaethornis aethopygus,
Phaethornis stuarti,
Phaethornis idaliae,
Threnetes niger,
Glaucis dohrnii,
Anopetia gounellei,
Hylonympha macrocerca,
Sternoclyta cyanopectus,
Aerodramus hirundinaceus,
Aerodramus unicolor,
Aerodramus leucophaeus,
Aerodramus inquietus,
Aerodramus nuditarsus,
Aerodramus infuscatus,
Aerodramus pelewensis,
Aerodramus orientalis,
Collocalia marginata,
Collocalia affinis,
Collocalia uropygialis,
Collocalia isonota,
Collocalia natalis,
Collocalia neglecta,
Collocalia sumbawae,
Apus salimalii,
Apus leuconyx,
Cypsiurus gracilis,
Aeronautes andecolus,
Aeronautes montivagus,
Tachornis squamata,
Tachornis furcata,
Hirundapus cochinchinensis,
Hirundapus celebensis,
Hirundapus giganteus,
Neafrapus boehmi,
Chaetura martinica,
Chaetura egregia,
