Campylopterus calcirupicola,
Campylopterus diamantinensis,
Chaetocercus jourdanii,
Chaetocercus heliodor,
Chaetocercus berlepschi,
Chaetocercus astreans,
Selasphorus ellioti,
Mellisuga helenae,
Doricha enicura,
Nesophlox lyrura,
Eugenes spectabilis,
Oxypogon cyanolaemus,
Oxypogon lindenii,
Oxypogon stuebelii,
Chalcostigma heteropogon,
Metallura iracunda,
Oreotrochilus adela,
Oreotrochilus cyanolaemus,
Ramphomicron dorsale,
Aglaiocercus berlepschi,
Heliangelus mavors,
Lophornis ornatus,
Lophornis adorabilis,
Lophornis magnificus,
Lophornis gouldii,
Lophornis helenae,
Lophornis brachylophus,
Lophornis stictolophus,
Lophornis verreauxii,
Discosura letitiae,
Urochroa leucura,
Aglaeactis aliciae,
Eriocnemis godini,
Eriocnemis mirabilis,
Eriocnemis isabellae,
Haplophaedia assimilis,
Colibri cyanotus,
Schistes albogularis,
Phaethornis aethopygus,
Phaethornis stuarti,
Phaethornis idaliae,
Threnetes niger,
Glaucis dohrnii,
Anopetia gounellei,
Hylonympha macrocerca,
Sternoclyta cyanopectus,
Aerodramus germani,
Aerodramus hirundinaceus,
Aerodramus unicolor,
Aerodramus leucophaeus,
Aerodramus inquietus,
Aerodramus nuditarsus,
Aerodramus infuscatus,
Aerodramus pelewensis,
Aerodramus orientalis,
Aerodramus ceramensis,
Collocalia marginata,
Collocalia affinis,
Collocalia uropygialis,
Collocalia isonota,
Collocalia natalis,
Collocalia neglecta,
Collocalia sumbawae,
Apus salimalii,
Apus leuconyx,
Cypsiurus gracilis,
Aeronautes andecolus,
Aeronautes montivagus,
Tachornis squamata,
Tachornis furcata,
Hirundapus cochinchinensis,
Hirundapus celebensis,
Hirundapus giganteus,
Neafrapus boehmi,
Chaetura martinica,
Chaetura egregia,
Chaetura fumosa,
Chaetura spinicaudus,
Rhaphidura sabini,
Streptoprocne semicollaris,
Streptoprocne biscutata,
Cypseloides cryptus,
Cypseloides fumigatus,
Cypseloides lemosi,
Cypseloides senex,
Cypseloides cherriei,
Cypseloides storeri,
Cypseloides rothschildi,
Mearnsia novaeguineae,
Mearnsia picina,
Zoonavena sylvatica,
Zoonavena grandidieri,
Zoonavena thomensis,
Schoutedenapus myoptilus,
Panyptila cayennensis,
Panyptila sanctihieronymi,
Telacanthura melanopygia,
Telacanthura ussheri,
Aegotheles affinis,
Batrachostomus javensis,
Batrachostomus stellatus,
Batrachostomus chaseni,
Batrachostomus harterti,
Batrachostomus poliolophus,
Nyctiprogne vielliardi,
Systellura decussata,
Setopagis heterura,
Chordeiles gundlachii,
Siphonorhis americana,
Caprimulgus prigoginei,
Antrostomus cubanensis,
Caprimulgus natalensis,
Antrostomus noctitherus,
Antrostomus badius,
Caprimulgus mahrattensis,
Caprimulgus pulchellus,
Caprimulgus tristigma,
Caprimulgus eximius,
Caprimulgus ruficollis,
Nyctipolus hirundinaceus,
Caprimulgus donaldsoni,
Caprimulgus concretus,
Setopagis maculosa,
Caprimulgus solala,
Caprimulgus asiaticus,
Caprimulgus stellatus,
Caprimulgus ruwenzorii,
Caprimulgus nubicus,
Caprimulgus andamanicus,
Caprimulgus clarus,
Caprimulgus celebensis,
Caprimulgus phalaena,
Macropsalis forcipata,
Caprimulgus binotatus,
Eurostopodus diabolicus,
Lyncornis temminckii,
Eurostopodus archboldi,
Eurostopodus exul,
Eurostopodus nigripennis,
Microcarbo niger,
Urile perspicillatus,
Phalacrocorax fuscicollis,
Microcarbo africanus,
Egretta picata,
Egretta vinaceigula,
Egretta ardesiaca,
Nyctanassa carcinocatactes,
Nycticorax megacephalus,
Nycticorax duboisi,
Nycticorax mauritianus,
Ardeola grayii,
Ardea sumatrana,
Botaurus poiciloptilus,
Ixobrychus novaezelandiae,
Ixobrychus dubius,
Agamia agami,
Threskiornis melanocephalus,
Threskiornis bernieri,
Threskiornis spinicollis,
Pseudibis gigantea,
Pseudibis papillosa,
Pseudibis davisoni,
Lophotibis cristata,
Bostrychia carunculata,
Bostrychia bocagei,
Bostrychia hagedash,
Bostrychia olivacea,
Bostrychia rara,
Cercibis oxycerca,
Leptoptilos dubius,
Anastomus lamelligerus,
Anastomus oscitans,
Oceanites gracilis,
Fregetta maoriana,
Oceanites pincoyae,
Calonectris edwardsii,
Pachyptila belcheri,
Pachyptila crassirostris,
Bulweria bifax,
Bulweria fallax,
Procellaria conspicillata,
Pseudobulweria macgillivrayi,
Pseudobulweria becki,
Pterodroma ultima,
Pterodroma leucoptera,
Pterodroma atrata,
Pterodroma occulta,
Pterodroma rupinarum,
Pterodroma defilippiana,
Pterodroma pycrofti,
Pterodroma brevipes,
Puffinus bryani,
Puffinus heinrothi,
Puffinus bannermani,
Hydrobates monteiroi,
Hydrobates markhami,
Hydrobates matsudairae,
Hydrobates jabejabe,
Hydrobates hornbyi,
Hydrobates socorroensis,
Hydrobates cheimomnestes,
Nesofregetta fuliginosa,
Hydrobates macrodactyla,
Rallina rubra,
Rallina canningi,
Rallina leucospila,
Cyanolimnas cerverai,
Eupodotis vigorsii,
Coccycua cinerea,
Coccycua pumila,
Cacomantis aeruginosus,
Cuculus lepidus,
Hierococcyx bocki,
Carpococcyx radiceus,
Nannococcyx psix,
Tauraco ruspolii,
Alopecoenas norfolkensis,
Alopecoenas ferrugineus,
Geopelia maugeus,
Henicophaps foersteri,
Alopecoenas xanthonurus,
Gallicolumba menagei,
Phapitreron brunneiceps,
Alectroenas nitidissimus,
Alectroenas payandeei,
Ptilinopus dohertyi,
Ptilinopus fischeri,
Ptilinopus granulifrons,
Ptilinopus subgularis,
Ptilinopus insolitus,
Ptilinopus epius,
Ptilinopus mangoliensis,
Ptilinopus hernsheimi,
Ptilinopus ponapensis,
Ducula rosacea,
Ducula concinna,
Ducula whartoni,
Ducula nicobarica,
Ducula carola,
Ducula pickeringii,
Ducula lacernulata,
Ducula perspicillata,
Ducula radiata,
Ducula cineracea,
Ducula neglecta,
Ducula mindorensis,
Gymnophaps stalkeri,
Gymnophaps solomonensis,
Gymnophaps mada,
Treron oxyurus,
Treron olax,
Treron capellei,
Treron aromaticus,
Treron psittaceus,
Treron floris,
Treron pembaensis,
Treron griseicauda,
Treron seimundi,
Treron chloropterus,
Treron fulvicollis,
Treron teysmannii,
Treron affinis,
Treron griveaudi,
